image_path,class_idx,x1,y1,x2,y2
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_001.JPG,2,56,100,90,130
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_001.JPG,2,116,91,132,112
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_001.JPG,2,143,90,186,135
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_001.JPG,2,134,154,194,202
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_001.JPG,2,161,49,188,81
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_001.JPG,2,191,81,203,95
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_001.JPG,2,130,61,147,82
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_001.JPG,2,95,40,106,71
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_002.JPG,2,170,95,203,129
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_002.JPG,2,102,171,130,206
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_002.JPG,2,185,60,196,77
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_002.JPG,2,95,122,120,149
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_003.JPG,2,80,71,122,111
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_003.JPG,2,68,153,119,179
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_003.JPG,2,130,116,146,130
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_003.JPG,2,163,97,187,137
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_004.JPG,2,87,60,134,88
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_004.JPG,2,125,84,165,145
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_004.JPG,2,128,151,167,184
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_004.JPG,2,100,135,118,152
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_004.JPG,2,142,177,181,206
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_005.JPG,2,46,94,57,112
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_005.JPG,2,59,123,98,168
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_005.JPG,2,80,92,124,134
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_005.JPG,2,111,144,166,186
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_005.JPG,2,175,106,194,126
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_005.JPG,2,120,43,136,55
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_006.JPG,2,83,150,107,175
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_006.JPG,2,66,103,129,141
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_006.JPG,2,122,158,165,189
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_006.JPG,2,125,78,142,107
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_006.JPG,2,159,67,175,106
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_007.JPG,2,151,72,180,123
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_007.JPG,2,100,69,130,114
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_007.JPG,2,122,137,168,185
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_007.JPG,2,184,140,218,169
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_007.JPG,2,113,26,138,70
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_008.JPG,2,82,67,129,124
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_008.JPG,2,152,103,201,160
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_008.JPG,2,122,143,169,188
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_008.JPG,2,119,35,149,56
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_009.JPG,2,71,123,120,176
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_009.JPG,2,81,182,111,214
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_009.JPG,2,136,152,192,187
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_009.JPG,2,140,107,212,144
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_010.JPG,2,37,114,122,150
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_010.JPG,2,15,140,87,189
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_010.JPG,2,44,39,105,81
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_010.JPG,2,136,29,160,51
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_010.JPG,2,184,71,211,103
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Cedar_apple_rust\cedar_rust_010.JPG,2,171,196,201,223
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_001.JPG,0,64,140,91,162
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_001.JPG,0,121,102,149,130
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_001.JPG,0,207,63,226,87
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_001.JPG,0,96,160,117,182
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_002.JPG,0,106,124,135,151
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_002.JPG,0,169,81,207,113
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_002.JPG,0,31,172,49,192
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_002.JPG,0,142,75,158,93
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_003.JPG,0,86,105,163,224
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_003.JPG,0,159,12,208,62
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_003.JPG,0,169,72,192,104
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_003.JPG,0,229,174,247,209
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_004.JPG,0,94,98,218,202
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_004.JPG,0,1,104,57,151
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_004.JPG,0,53,142,84,169
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_004.JPG,0,104,63,119,78
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_005.JPG,0,37,86,163,210
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_005.JPG,0,137,8,161,39
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_006.JPG,0,14,143,148,237
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_007.JPG,0,35,44,80,94
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_007.JPG,0,98,85,161,142
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_007.JPG,0,150,186,169,206
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_008.JPG,0,119,181,179,234
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_008.JPG,0,52,51,103,94
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_008.JPG,0,88,87,131,148
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_008.JPG,0,73,133,104,154
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_009.JPG,0,168,61,219,92
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_009.JPG,0,102,76,180,122
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_009.JPG,0,45,119,82,162
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_009.JPG,0,96,126,116,142
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_010.JPG,0,102,131,126,164
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_010.JPG,0,166,167,205,196
D:\WEB DEVELOPMENT\Apple_leaf_detection\annotations\selected_images\Apple___Apple_scab\scab_010.JPG,0,27,69,52,107
